ID,Citation,URL,Common name,Data type,Measurement name,Measurement value,Measurement units,Measurement method,Measurement condition name,Measurement condition value,Measurement condition units,Measurement condition name,Measurement condition value,Measurement condition units,Measurement condition name,Measurement condition value,Measurement condition units,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,Acetal,Experimental,Boiling point,103,$^{\circ}$C,,,,,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Flammable limits,1.6-10.4,%,,,,,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Flash point,-21,$^{\circ}$C,,,,,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Ignition temperature,230,$^{\circ}$C,,,,,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Melting point,-100,$^{\circ}$C,,,,,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Solubility in water,21,g/100 g,,Temperature,20,$^{\circ}$C,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Specific gravity,0.83,,,,,,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Vapor density,4.08,,,Relative to,air,,,,,,,,
1,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Vapor pressure,10,mm Hg,,Temperature,8,$^{\circ}$C,,,,,,,
2,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,Acetaldehyde,Experimental,Boiling point,21,$^{\circ}$C,,,,,,,,,,,
2,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Flammable limits,4-57,%,,,,,,,,,,,
2,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Flash point,-38,$^{\circ}$C,,,,,,,,,,,
2,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Ignition temperature,185,$^{\circ}$C,,,,,,,,,,,
2,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Melting point,-124,$^{\circ}$C,,,,,,,,,,,
2,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Solubility in water,infinite,,,,,,,,,,,,
2,"Mumford, C. J. and P. A. Carson. Hazardous Chemicals Handbook, 2nd Edition. Oxford: Butterworth-Heinemann, 2002.",http://www.amazon.com/Hazardous-Chemicals-Handbook-Second-Edition/dp/0750648880,,Experimental,Specific gravity,0.78,,,,,,,,,,,,
