Name Fb Eg Eg_bracket omega_max  omega_mean epsilon_e  epsilon_tot dNN  rho M Structure
LiF 4829.6 13.6 (11) 19.599 10.435 2.068 7.936 1.943 2.938 86.582 RS
LiCl 679.8 9.4 (11) 12.531 6.301 3.150 10.003 2.477 2.317 40.537 RS
LiBr 479.1 7.6 (11) 11.188 4.934 3.664 11.287 2.653 3.862 32.869 RS
LiI 381.5 6.1 (12) 9.701 4.113 4.465 12.667 2.897 4.569 25.476 RS
NaF 1062.7 11.5 (13) 12.275 7.416 1.821 4.170 2.227 3.156 61.943 RS
NaCl 288.9 8.5 (11) 7.281 4.460 2.604 5.186 2.721 2.408 31.965 RS
NaBr 179.2 7.1 (14) 6.357 3.589 3.003 5.728 2.886 3.554 26.127 RS
NaI 115.6 5.9 (12) 5.439 2.920 3.582 6.659 3.125 4.078 20.181 RS
KF 535.1 10.9 (11) 11.446 6.984 2.087 5.475 2.458 3.250 64.486 RS
KCl 242.5 8.5 (11) 6.938 4.439 2.505 4.646 2.916 2.497 30.805 RS
KBr 188.2 7.4 (14) 5.422 3.363 2.758 4.826 3.068 3.423 24.694 RS
KI 278.9 6.2 (11) 4.595 2.720 3.121 5.017 3.296 3.848 18.896 RS
RbF 612.1 10.4 (11) 10.795 6.025 2.220 5.949 2.537 5.313 67.228 RS
RbCl 274.5 8.2 (11) 5.948 3.663 2.513 4.780 3.005 3.701 28.977 RS
RbBr 154.9 7.2 (15) 4.218 2.708 2.724 4.798 3.152 4.383 23.829 RS

RbI 109.9 6.1 (11) 3.439 2.185 3.030 4.871 3.379 4.572 18.317 RS
CsF 352.5 10.0 (14) 10.611 5.878 2.514 8.271 2.848 5.459 63.041 RS
CsCl 348.2 8.3 (16) 6.388 3.771 3.140 7.207 3.253 5.276 41.100 CC
CsBr 208.9 7.3 (16) 4.155 2.620 3.366 6.933 3.388 5.903 32.350 CC
CsI 101.9 6.2 (17) 3.131 2.037 3.698 7.071 3.604 5.986 23.827 CC

CuCl 181.6 3.4 (18) 8.465 4.724 5.481 7.202 2.275 4.533 70.639 ZB
CuBr 117.4 2.9 (19) 5.763 3.819 6.541 8.140 2.401 5.588 60.827 ZB
CuI 91.8 3.0 (20) 5.063 3.218 6.690 7.588 2.547 6.214 54.310 ZB
AgF 198.7 5.0 (21) 7.844 3.769 5.253 9.901 2.424 7.398 90.178 RS
AgCl 209.5 5.6 (21) 6.282 3.217 5.722 10.764 2.708 5.993 65.700 RS
AgBr 101.6 4.8 (21) 4.345 2.559 6.800 12.397 2.823 6.930 59.375 RS
AgI 92.2 2.8 (22) 4.041 2.598 5.827 7.151 2.775 5.927 38.940 ZB

TlCl 255.2 3.4 (23) 5.956 2.468 6.293 33.041 3.022 9.374 43.934 CC
TlBr 96.6 3.0 (23) 3.828 1.805 7.146 34.149 3.178 9.556 37.690 CC
TlI 141.2 2.8 (24) 2.914 1.415 8.203 38.088 3.388 9.184 31.069 CC

BeS 479.8 7.4 (25) 20.290 12.470 5.412 7.141 2.063 2.522 99.251 ZB
BeSe 512.8 5.5 (26) 18.632 10.059 6.111 7.607 2.191 4.509 81.905 ZB
BeTe 346.2 2.8 (27) 16.730 8.844 7.498 8.395 2.384 5.438 62.557 ZB
MgO 1609.9 7.8 (28) 20.642 12.255 3.090 9.350 2.067 3.790 171.100 RS
MgS 211.5 2.7 (29) 11.852 6.932 5.509 14.013 2.558 2.798 82.086 RS
MgSe 143.6 2.5 (25) 10.005 5.069 6.646 16.389 2.693 4.390 67.779 RS
MgTe 141.9 2.3 (30) 8.641 4.723 5.622 7.813 2.749 3.942 38.352 ZB
CaO 517.5 7.1 (31) 16.715 9.700 3.867 14.456 2.390 3.409 129.097 RS
CaS 177.2 4.4 (32) 10.191 6.315 5.378 11.294 2.810 2.699 67.376 RS
CaSe 117.9 3.9 (33) 7.968 4.727 6.014 11.677 2.922 3.960 56.621 RS
CaTe 113.9 4.5 (34) 6.833 3.866 7.084 12.180 3.123 4.570 44.118 RS
SrO 394.5 5.8 (35) 15.527 8.510 3.889 18.163 2.487 5.592 125.758 RS
SrS 133.2 4.0 (36) 8.911 5.448 5.004 11.192 2.890 4.118 64.218 RS
SrSe 115.2 4.6 (35) 6.208 3.936 5.558 11.277 2.998 5.131 53.812 RS
SrTe 35.9 4.0 (35) 5.075 3.177 6.417 11.353 3.197 5.471 41.704 RS
BaO 291.9 4.4 (37) 12.879 6.396 4.376 57.213 2.776 5.953 83.576 RS
BaS 125.2 3.9 (38) 7.568 4.234 5.207 14.119 3.171 4.410 49.372 RS
BaSe 76.9 3.6 (38) 5.031 3.065 5.737 13.333 3.269 5.141 42.702 RS
BaTe 49.9 3.1 (38) 4.044 2.495 6.561 12.622 3.450 5.355 34.071 RS

MnO 231.2 3.8 (39) 13.490 5.458 15.471 17.258 2.243 5.217 156.370 RS
FeO 187.9 2.4 (40) 13.301 5.675 10.367 13.941 2.168 5.853 189.990 RS

CoO 193.6 2.4 (41) 12.666 7.491 20.831 21.547 2.111 6.618 211.027 RS
NiO 327.2 4.0 (42) 13.148 7.064 5.074 13.130 2.062 7.075 233.220 RS

C 2624.0 5.5 (18) 40.513 29.674 5.765 5.765 1.523 3.661 460.524 ZB
Si 84.2  1.1 (43) 15.401 9.872 13.225 13.225 2.330 2.394  94.414 ZB
Ge 46.9 0.7 (18) 8.953 5.666 26.290 26.290 2.413 5.574 73.100 ZB
SiC 419.5 2.4 (18) 28.015 17.998 6.934 10.280 1.864 3.336 222.949 ZB
SiGe 52.6 0.9 (44) 9.894 6.278 14.827 14.831 2.367 4.092 84.105 ZB

BN 2062.1 6.4 (18) 38.333 26.001 4.564 6.725 1.546 3.622 397.099 ZB
BP 428.8 2.4 (18) 24.772 16.617 9.186 9.340 1.939 3.090 172.929 ZB
BAs 242.9 1.5 (18) 22.201 13.278 9.643 9.767 2.049 5.375 143.369 ZB
AlN 881.7 4.9 (45) 25.516 15.834 4.545 8.280 1.863 3.418 205.352 ZB
AlP 192.2 2.5 (18) 14.109 9.057 8.316 10.443 2.343 2.431 87.781 ZB
AlAs 145.6 2.2 (18) 11.668 7.051 9.463 11.403 2.434 3.813 73.032 ZB
AlSb 123.6 1.7 (18) 10.280 5.955 11.748 13.008 2.630 4.407 55.785 ZB
GaN 691.7 3.2 (45) 23.649 13.767 5.687 9.791 1.866 6.946 228.398 ZB
GaP 207.5 2.3 (46) 12.116 7.772 10.432 12.474 2.302 4.454 94.496 ZB
GaAs 108.9 1.4 (43) 8.503 5.587 13.819 15.753 2.396 5.669 76.592 ZB
GaSb 42.3 0.8 (46) 6.983 4.370 17.729 18.842 2.581 6.007 58.246 ZB
InN 45.3 2.1 (47) 19.422 10.991 14.855 19.722 2.116 7.337 163.696 ZB
InP 43.3 1.4 (18) 10.690 6.452 11.469 14.407 2.518 4.927 74.118 ZB
InAs 10.6 0.4 (46) 7.008 4.391 18.136 21.030 2.601 5.814 61.556 ZB
InSb 10.6 0.2 (43) 5.589 2.714 20.038 22.041 2.775 5.968 47.746 ZB

ZnO 231.5 3.4 (48) 16.719 9.577 5.288 9.769 1.963 5.803 154.694 ZB
ZnS 237.9 3.7 (49) 10.392 6.466 6.106 8.769 2.309 4.271 83.194 ZB
ZnSe 150.2 2.8 (49) 7.231 4.709 7.439 10.038 2.426 5.451 68.612 ZB
ZnTe 110.2 2.4 (50) 6.066 4.302 9.060 11.253 2.591 5.985 53.992 ZB
CdO 181.9 0.8 (18) 13.301 6.724 7.930 19.227 2.347 8.246 155.366 RS
CdS 78.2 2.5 (51) 9.090 5.203 6.565 9.702 2.519 4.876 65.201 ZB
CdSe 15.3 1.7 (52) 5.953 3.784 8.588 11.662 2.626 5.696 55.323 ZB
CdTe 20.2 1.5 (51) 4.786 3.064 9.165 11.712 2.781 6.020 44.747 ZB
HgO 153.9 2.2 (53) 12.764 6.035 7.548 10.312 2.250 10.251 101.921 ZB
